Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM2.5,2024-02-14,23:00 - 0:00,3,µg/m³
PM2.5,2024-02-14,0:00 - 1:00,3,µg/m³
PM2.5,2024-02-14,1:00 - 2:00,3,µg/m³
PM2.5,2024-02-14,2:00 - 3:00,3,µg/m³
PM2.5,2024-02-14,3:00 - 4:00,3,µg/m³
PM2.5,2024-02-14,4:00 - 5:00,3,µg/m³
PM2.5,2024-02-14,5:00 - 6:00,7,µg/m³
PM2.5,2024-02-14,6:00 - 7:00,5,µg/m³
PM2.5,2024-02-14,7:00 - 8:00,5,µg/m³
PM2.5,2024-02-14,8:00 - 9:00,5,µg/m³
PM2.5,2024-02-14,9:00 - 10:00,7,µg/m³
PM2.5,2024-02-14,10:00 - 11:00,14,µg/m³
PM2.5,2024-02-14,11:00 - 12:00,14,µg/m³
PM2.5,2024-02-14,12:00 - 13:00,15,µg/m³
PM2.5,2024-02-14,13:00 - 14:00,15,µg/m³
PM2.5,2024-02-14,14:00 - 15:00,17,µg/m³
PM2.5,2024-02-14,15:00 - 16:00,17,µg/m³
PM2.5,2024-02-14,16:00 - 17:00,14,µg/m³
PM2.5,2024-02-14,17:00 - 18:00,14,µg/m³
PM2.5,2024-02-14,18:00 - 19:00,18,µg/m³
PM2.5,2024-02-14,19:00 - 20:00,18,µg/m³
PM2.5,2024-02-14,20:00 - 21:00,18,µg/m³
PM2.5,2024-02-14,21:00 - 22:00,18,µg/m³
PM2.5,2024-02-14,22:00 - 23:00,11,µg/m³
PM2.5,2024-02-15,23:00 - 0:00,11,µg/m³
PM2.5,2024-02-15,0:00 - 1:00,5,µg/m³
PM2.5,2024-02-16,0:00 - 1:00,5,µg/m³
PM2.5,2024-02-16,1:00 - 2:00,5,µg/m³
PM2.5,2024-02-16,2:00 - 3:00,7,µg/m³
PM2.5,2024-02-16,3:00 - 4:00,7,µg/m³
PM2.5,2024-02-16,4:00 - 5:00,8,µg/m³
PM2.5,2024-02-16,5:00 - 6:00,8,µg/m³
PM2.5,2024-02-16,6:00 - 7:00,22,µg/m³
PM2.5,2024-02-16,7:00 - 8:00,22,µg/m³
PM2.5,2024-02-16,8:00 - 9:00,13,µg/m³
PM2.5,2024-02-16,9:00 - 10:00,13,µg/m³
PM2.5,2024-02-16,10:00 - 11:00,12,µg/m³
PM2.5,2024-02-16,11:00 - 12:00,12,µg/m³
PM2.5,2024-02-16,12:00 - 13:00,15,µg/m³
PM2.5,2024-02-16,13:00 - 14:00,15,µg/m³
PM2.5,2024-02-16,14:00 - 15:00,20,µg/m³
PM2.5,2024-02-16,15:00 - 16:00,20,µg/m³
PM2.5,2024-02-16,16:00 - 17:00,21,µg/m³
PM2.5,2024-02-16,17:00 - 18:00,21,µg/m³
PM2.5,2024-02-16,19:00 - 20:00,21,µg/m³
PM2.5,2024-02-16,20:00 - 21:00,21,µg/m³
PM2.5,2024-02-16,21:00 - 22:00,21,µg/m³
